Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Cooper, Andrew Michael",BILD 1 - The Cell (D),FA21,164,141,89.9%,88.4%,5.00,B (3.16),B (3.11)
"Cooper, Andrew Michael",BILD 1 - The Cell (E),FA21,161,146,89.5%,87.4%,5.25,B (3.14),B (3.06)
"Cooper, Andrew Michael",BILD 1 - The Cell (F),FA21,162,146,88.9%,86.7%,4.86,B (3.11),B- (2.96)
"Gustafson-Brown, Cindy",BILD 10 - Fundamental Concepts/Modrn Bio (A),FA21,214,178,76.8%,88.7%,5.61,B (3.02),B- (2.81)
"Owens, Melinda Tsao-Ying",BILD 2 - Multicellular Life (A),FA21,139,110,99.1%,99.1%,5.14,B+ (3.69),B (3.19)
"Glasgow, Stacey Marie",BILD 2 - Multicellular Life (B),FA21,59,37,94.6%,94.4%,5.26,B+ (3.47),B (3.14)
"Park, Ji Young",BILD 2 - Multicellular Life (C),FA21,151,119,94.1%,95.8%,5.58,B+ (3.47),B (3.07)
"Park, Ji Young",BILD 2 - Multicellular Life (D),FA21,126,94,96.8%,96.8%,5.23,B+ (3.59),B (3.12)
"Rana, Brinda Kanti",BILD 20 - Human Genetics/Modern Society (A),FA21,123,92,97.8%,94.4%,3.41,B+ (3.58),B+ (3.64)
"Stockwell, Sarah R",BILD 3 - Organismic&Evolutionary Biol (A),FA21,185,130,96.1%,96.9%,5.02,B+ (3.33),B (3.20)
"Stockwell, Sarah R",BILD 3 - Organismic&Evolutionary Biol (B),FA21,187,145,97.9%,98.6%,5.15,B+ (3.30),B (3.25)
"Caffrey, Carolee",BILD 3 - Organismic&Evolutionary Biol (C),FA21,155,107,90.6%,85.7%,6.54,B (3.21),C+ (2.37)
"Butler, Shannon Rhey",BILD 3 - Organismic&Evolutionary Biol (D),FA21,161,128,88.3%,89.8%,4.64,B+ (3.47),B+ (3.55)
"Butler, Shannon Rhey",BILD 3 - Organismic&Evolutionary Biol (E),FA21,159,128,88.1%,89.7%,5.18,B+ (3.50),B+ (3.50)
"Butler, Shannon Rhey",BILD 3 - Organismic&Evolutionary Biol (F),FA21,163,135,88.7%,91.0%,4.91,B+ (3.45),B+ (3.51)
"Burg, Michael",BILD 32 - Intro to Cancer Biology (A),FA21,153,133,91.7%,96.2%,4.65,B (3.25),B- (2.87)
"Mel, Stephanie",BILD 4 - Introductory Biology Lab (A),FA21,377,250,94.7%,99.2%,3.18,B+ (3.65),A- (3.71)
"Lo, Stanley M.",BILD 4 - Introductory Biology Lab (B),FA21,378,290,95.5%,98.9%,3.17,A- (3.72),A- (3.75)
"Hammond, LaTisha Marie",BILD 60 - DEI in Relation to Human Bio (A),FA21,48,19,88.9%,100.0%,4.50,A- (3.89),A- (3.77)
"Pogliano, Joseph",BILD 70 - Genomics Research Init Lab I (A),FA21,30,20,100.0%,100.0%,2.61,A (4.00),A (4.00)
"Pogliano, Joseph",BILD 80 - Job Intern Prep:Job App (A),FA21,13,9,71.4%,100.0%,3.07,B+ (3.50),N/A
"Briggs, Steven",BILD 83 - Business Comm for Bio Sci (A),FA21,11,3,100.0%,100.0%,1.83,A (4.00),N/A
"Saier, Milton H.",BILD 87 - Freshman Seminar (A),FA21,18,11,100.0%,100.0%,0.68,A (4.00),N/A
"Saier, Milton H.",BILD 87 - Freshman Seminar (B),FA21,18,11,90.0%,90.0%,0.86,A (4.00),N/A
"Briggs, Steven",BILD 92 - Prof Dev Topics in Biology (A),FA21,9,7,100.0%,100.0%,2.21,A- (3.80),N/A
"Alfonso, Stephanie Isabel",BILD 1 - The Cell (A),S221,107,59,67.2%,48.3%,7.45,B- (2.88),C+ (2.51)
"He, Xinyi",BILD 12 - Neurobiology and Behavior (A),S221,32,22,100.0%,95.5%,6.50,B+ (3.57),B (3.21)
"Moeller, Corinne Anne",BILD 2 - Multicellular Life (A),S221,102,73,94.5%,89.0%,8.69,B+ (3.60),A- (3.77)
"Caffrey, Carolee",BILD 3 - Organismic&Evolutionary Biol (A),S221,100,37,81.1%,75.7%,9.64,B+ (3.65),B (3.18)
"Cooper, Andrew Michael",BILD 1 - The Cell (A),S121,32,25,96.0%,100.0%,6.98,B+ (3.36),B- (2.90)
"Butler, Shannon Rhey",BILD 1 - The Cell (B),S121,133,102,96.1%,97.0%,6.40,B+ (3.48),B+ (3.35)
"Naigles, Beverly Marcella",BILD 10 - Fundamental Concepts/Modrn Bio (A),S121,38,30,86.7%,96.3%,7.17,B+ (3.41),B (3.01)
"Lebeaupin, Cynthia D",BILD 2 - Multicellular Life (A),S121,124,47,97.9%,100.0%,6.03,A- (3.91),A- (3.86)
"Tat, John",BILD 2 - Multicellular Life (B),S121,87,74,100.0%,97.3%,5.91,A- (3.79),B+ (3.52)
"Rana, Brinda Kanti",BILD 20 - Human Genetics/Modern Society (A),S121,43,29,100.0%,100.0%,6.43,B+ (3.44),B+ (3.34)
"Caffrey, Carolee",BILD 3 - Organismic&Evolutionary Biol (A),S121,75,54,72.2%,64.8%,8.87,B- (2.94),C+ (2.45)
"Chu, Monica W",BILD 1 - The Cell (A),SP21,173,133,95.5%,96.2%,6.18,B (3.20),B+ (3.45)
"Meaders, Clara Leigh",BILD 1 - The Cell (B),SP21,115,78,100.0%,100.0%,5.12,B+ (3.46),B+ (3.51)
"Rusert, Jessica Marie",BILD 1 - The Cell (C),SP21,106,68,81.8%,81.8%,6.20,B+ (3.33),B- (2.83)
"Rusert, Jessica Marie",BILD 1 - The Cell (D),SP21,101,68,89.6%,88.1%,5.69,B+ (3.44),B- (2.98)
"Cooper, Andrew Michael",BILD 1 - The Cell (E),SP21,76,64,95.3%,92.2%,5.38,B (3.00),B (3.26)
"Burg, Michael",BILD 2 - Multicellular Life (A),SP21,183,144,96.5%,96.5%,5.47,B+ (3.41),B (3.19)
"Park, Ji Young",BILD 2 - Multicellular Life (B),SP21,191,159,95.6%,96.2%,4.93,B+ (3.65),B+ (3.44)
"Owens, Melinda Tsao-Ying",BILD 2 - Multicellular Life (C),SP21,55,44,97.7%,97.7%,6.64,B+ (3.53),B (3.10)
"Owens, Melinda Tsao-Ying",BILD 2 - Multicellular Life (D),SP21,55,46,97.8%,97.8%,5.20,A- (3.72),B (3.16)
"Pillus, Lorraine",BILD 20 - Human Genetics/Modern Society (A),SP21,112,80,82.3%,89.9%,4.96,B- (2.98),B (3.29)
"Caffrey, Carolee",BILD 3 - Organismic&Evolutionary Biol (A),SP21,72,44,86.4%,79.5%,6.09,B+ (3.37),B- (2.81)
"Butler, Shannon Rhey",BILD 3 - Organismic&Evolutionary Biol (B),SP21,191,139,95.0%,94.9%,5.02,B+ (3.53),B+ (3.49)
"Kurle, Carolyn M.",BILD 3 - Organismic&Evolutionary Biol (C),SP21,214,98,96.9%,96.9%,4.44,B+ (3.64),A- (3.73)
"Kohn, Joshua R",BILD 3 - Organismic&Evolutionary Biol (D),SP21,20,8,100.0%,100.0%,4.50,B+ (3.60),C+ (2.44)
"Gambel, Jessica Erin",BILD 3 - Organismic&Evolutionary Biol (E),SP21,140,100,94.9%,96.0%,4.50,B+ (3.64),B+ (3.46)
"Mel, Stephanie",BILD 4 - Introductory Biology Lab (A),SP21,186,105,96.0%,99.0%,3.13,A- (3.91),B+ (3.67)
"Reuther, Keefe",BILD 4 - Introductory Biology Lab (B),SP21,186,131,90.8%,100.0%,3.42,A- (3.83),A- (3.75)
"Mayfield, Stephen P.",BILD 42 - Our Sustainable Future (A),SP21,68,25,87.5%,88.0%,4.76,B (3.29),B+ (3.54)
"Reese, Aspen Taylor",BILD 44 - Changing World (A),SP21,18,14,78.6%,92.9%,3.36,A- (3.83),N/A
"Rifkin, Scott",BILD 60 - DEI in Relation to Human Bio (A),SP21,26,16,66.7%,80.0%,6.88,B+ (3.67),B+ (3.69)
"Bier, Ethan",BILD 7 - The Beginning of Life (A),SP21,140,36,88.9%,97.2%,4.39,B+ (3.69),B (3.14)
"Yanofsky, Martin F.",BILD 7 - The Beginning of Life (A),SP21,140,36,88.9%,100.0%,4.39,B+ (3.69),B (3.14)
"Nieh, James Charles",BILD 83 - Business Comm for Bio Sci (A),SP21,16,10,100.0%,100.0%,2.06,A (4.00),N/A
"Lo, Stanley Malvin Ming-Hi",BILD 87 - Freshman Seminar (A),SP21,13,11,90.9%,100.0%,1.23,B (3.00),N/A
"Briggs, Steven",BILD 92 - Prof Dev Topics in Biology (A),SP21,10,4,100.0%,100.0%,1.83,N/A,N/A
"Cooper, Andrew Michael",BILD 1 - The Cell (A),WI21,175,164,86.6%,82.3%,5.65,B (3.10),B (3.26)
"Cooper, Andrew Michael",BILD 1 - The Cell (B),WI21,175,153,81.6%,75.7%,5.55,B (3.02),B (3.16)
