Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Jed, Stephanie H",LTEU 140,FA20,44,12,1.0,1.0,3.33,3.75,3.96
"Ploye, Catherine",LTFR 115,FA20,21,10,1.0,1.0,5.7,3.6,3.62
"Fischer-Grunski, Eva K",LTGM 2A,FA20,25,18,1.0,1.0,4.5,3.69,3.52
"Murray, Kourtney Kristine",LTLA 1,FA20,40,15,1.0,1.0,4.21,4.0,3.57
"Kelting, Edward William",LTLA 100,FA20,20,13,1.0,1.0,7.42,3.45,3.59
"Wells, Patricia Rebecca",LTRU 1A,FA20,23,10,1.0,1.0,4.9,3.75,3.76
"Parra, Max",LTSP 135A,FA20,26,12,0.667,0.667,8.5,3.0,3.68
"Arreola, Virginia",LTSP 2D,FA20,24,7,1.0,1.0,5.36,3.57,3.62
"Parra, Max",LTSP 50A,FA20,31,12,0.833,0.917,5.67,3.55,3.6
"Nicolazzo, Sarah E.",LTTH 110,FA20,38,15,1.0,1.0,6.1,3.8,3.9
"Glaser, Amelia",LTWL 172,FA20,21,10,1.0,1.0,4.5,3.71,3.59
"Jed, Stephanie H",LTWL 177,FA20,49,15,1.0,1.0,3.57,4.0,3.98
"Nguyen, Hoang Tan",LTWL 181,FA20,34,13,0.727,0.636,4.0,3.75,3.86
"Kelting, Edward William",LTWL 19A,FA20,29,18,0.889,1.0,3.94,3.5,3.47
"Forbes, Camille",LTWR 100,FA20,21,21,1.0,0.9520000000000001,4.88,3.7,3.45
"Darini, Bruna Maria",LTWR 102,FA20,22,9,0.889,0.889,5.17,3.89,3.95
"Jemc, Jaclyn",LTWR 110,FA20,21,7,1.0,1.0,4.79,3.86,3.44
"Som, Brandon D",LTWR 113,FA20,23,9,1.0,0.875,4.28,3.89,3.71
"Lerer, Seth",LTWR 120,FA20,23,5,1.0,1.0,3.7,4.0,3.97
"Hoang, Lily Kim",LTWR 194,FA20,29,5,1.0,1.0,5.7,4.0,3.95
"Springer, Anna Joy",LTWR 8A,FA20,98,82,0.963,0.89,3.72,3.87,3.86
"Som, Brandon D",LTWR 8B,FA20,100,45,0.955,0.977,3.32,3.88,3.74
"Kokotovic, Milos",LTAM 110,SP20,52,23,1.0,1.0,5.72,3.61,3.59
"Wang, Pai",LTCH 101,SP20,37,19,0.895,0.789,4.5,3.93,3.8
"Mendoza, Andrea",LTCS 111,SP20,30,6,1.0,1.0,4.17,3.83,3.98
"Zhang, Yingjin",LTEA 120A,SP20,308,258,0.884,0.922,4.83,3.75,3.81
"Mendoza, Andrea",LTEA 132,SP20,77,24,1.0,0.9570000000000001,3.8,3.85,4.0
"Lee, Jin-Kyung",LTEA 144,SP20,68,28,1.0,1.0,4.81,3.79,3.92
"Lerer, Seth",LTEN 113,SP20,45,12,1.0,1.0,5.67,3.92,3.93
"Loose, Margaret",LTEN 142,SP20,27,17,0.941,0.941,6.26,3.67,3.74
"Loose, Margaret",LTEN 149,SP20,36,27,0.963,1.0,4.06,3.79,3.96
"Johnson, Sara E.",LTEN 152,SP20,25,11,1.0,1.0,4.1,3.8,3.8
"O'Brien, William Arctander",LTEN 176,SP20,24,4,0.667,1.0,4.5,3.25,4.0
